Razão Social (Registro ANS);Cobertura;Porte;Classificação no Mês;Classificação no Mês Anterior;jan/18;dez/17;nov/17;out/17;set/17;ago/17;jul/17;jun/17;mai/17;abr/17;mar/17;fev/17;Competência;Data de atualização
ABERTTA SAÚDE - ASSOCIAÇÃO BENEFICENTE DOS EMPREGADOS DA ARCELORMITTAL NO BRASIL (314668);Médico Hospitalar;Médio;219;218;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ADVANCE PLANOS DE SAÚDE LTDA (335657);Médico Hospitalar;Pequeno;28;57;14,92;5,92;8,81;8,74;14,44;11,43;11,32;5,61;5,57;5,51;10,93;10,83;201801;26/02/2018 11:03
AGEMED SAÚDE S.A. (339601);Médico Hospitalar;Grande;47;47;1,85;1,97;2,46;2,52;2,73;2,79;2,93;2,69;2,7;2,57;2,17;1,62;201801;26/02/2018 11:03
AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL TESTES (368920);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ALLIANZ SAÚDE S/A (000515);Médico Hospitalar;Médio;39;18;3,65;6,78;7,64;6,65;5,03;4,97;5,47;6,5;6,64;6,26;5,55;5,28;201801;26/02/2018 11:03
ALVORECER - ASSOCIAÇÃO DE SOCORROS MÚTUOS (344800);Médico Hospitalar;Médio;49;48;3,08;3,56;3,32;3,51;3,3;3,01;1,61;1,14;1,8;1,87;1,26;1,91;201801;26/02/2018 11:03
AMAZONAS DISTRIBUIDORA DE ENERGIA S/A (416894);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
AMAZÔNIA PLANOS DE SAÚDE LTDA (419052);Médico Hospitalar;Pequeno;129;96;1,35;2,66;2,61;1,28;0;1,22;1,19;1,18;1,19;1,21;1,22;2,45;201801;26/02/2018 11:03
AME-ASSISTÊNCIA MÉDICA A EMPRESAS LTDA (304531);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
AMENO ASSISTÊNCIA MÉDICA S/S LTDA. (409464);Médico Hospitalar;Pequeno;8;7;66,4;75,8;94,19;97,24;80,38;57,99;46,4;31,17;51,95;69,84;110,51;109,29;201801;26/02/2018 11:03
AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE LTDA (413330);Médico Hospitalar;Médio;129;161;1,1;0,74;0,37;0,38;0,39;0,39;0;0;0;0;0;0;201801;26/02/2018 11:03
AMEPLAN ASSISTÊNCIA MÉDICA PLANEJADA LTDA (394734);Médico Hospitalar;Grande;29;23;3;3,78;4,11;3,66;3,35;4,26;5,27;5,23;5,76;6,31;5,83;4,59;201801;26/02/2018 11:03
AMERON - ASSISTÊNCIA MÉDICA RONDÔNIA S/A. (321338);Médico Hospitalar;Pequeno;48;41;6,67;8,49;11,57;14,18;12,57;8,99;9,69;10,39;11,04;8,55;8,56;9,17;201801;26/02/2018 11:03
AMESC - ASSOCIAÇÃO MÉDICA ESPÍRITA CRISTÃ (401081);Médico Hospitalar;Médio;87;104;1,76;1,57;1,14;1,85;1,4;2,36;1,42;2,15;0,97;0,73;0,49;1,24;201801;26/02/2018 11:03
AMHA SAUDE S/A (418587);Médico Hospitalar;Médio;120;130;1,25;1,25;2,09;1,25;1,67;1,25;2,94;2,94;4,21;3,37;3,8;2,12;201801;26/02/2018 11:03
AMI - ASSISTÊNCIA MÉDICA INFANTIL LTDA (328332);Médico Hospitalar;Pequeno;26;33;16,11;12,01;13,04;12,05;12,75;11,29;10,74;7,57;7,05;4,58;3,89;2,97;201801;26/02/2018 11:03
AMIL ASSISTÊNCIA MÉDICA INTERNACIONAL S.A. (326305);Médico Hospitalar;Grande;15;16;4,42;4,82;4,9;5,4;5,36;5,41;5,1;4,62;4,6;4,03;4,04;3,54;201801;26/02/2018 11:03
AMPARA ASSISTÊNCIA MÉDICA PARAÍSO LTDA (325465);Médico Hospitalar;Pequeno;112;120;1,72;1,73;0,87;0;0,89;0,85;0,8;0;0;0;0;0;201801;26/02/2018 11:03
A.P.S ASSISTÊNCIA PERSONALIZADA À SAÚDE LTDA (406708);Médico Hospitalar;Pequeno;160;170;0,86;0,86;0,87;0;0;0,88;1,68;1,6;1,53;0,77;0,77;0,77;201801;26/02/2018 11:03
ARAÇA PLANOS DE SAÚDE LTDA. (407704);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ARCELORMITTAL BRASIL S/A (416070);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ASSISTÊNCIA MÉDICA SÃO MIGUEL LTDA (325236);Médico Hospitalar;Médio;67;80;2,36;2,08;2,1;1,82;1,83;2,15;3,09;1,88;3,17;3,51;3,54;1,94;201801;26/02/2018 11:03
ASSISTENCIA MEDICO HOSPITALAR SAO LUCAS S/A (323811);Médico Hospitalar;Médio;38;44;3,73;3,99;5;4,52;3,28;2,4;3,56;3,69;3,32;2,57;3,23;2,6;201801;26/02/2018 11:03
ASSISTÊNCIA MÉDICO-HOSPITALAR LTDA. (415847);Médico Hospitalar;Médio;201;191;0,36;0,36;0;0;0,39;0,41;0,42;0;0;0;0;0;201801;26/02/2018 11:03
ASSOCIAÇÃO ADVENTISTA NORTE BRASILEIRA DE PREVENÇÃO E ASSISTÊNCIA A SAÚDE (406554);Médico Hospitalar;Pequeno;106;116;1,86;1,85;1,85;2,46;3,06;2,44;1,83;0,61;2,43;2,42;3,62;3,01;201801;26/02/2018 11:03
ASSOCIAÇÃO ASSISTENCIAL DE SAÚDE SUPLEMENTAR CRUZ AZUL SAÚDE (411752);Médico Hospitalar;Médio;85;56;1,8;3,19;2,59;2,19;1,19;1,98;1,78;1,58;1,18;1,57;1,58;1,38;201801;26/02/2018 11:03
ASSOCIAÇÃO AUXILIADORA DAS CLASSES LABORIOSAS (340146);Médico Hospitalar;Pequeno;14;10;36,88;43,43;43,98;53,83;55,52;57,33;43,57;34,37;26,95;23,98;18,52;18,31;201801;26/02/2018 11:03
ASSOCIAÇÃO BENEFICENTE CATÓLICA (322326);Médico Hospitalar;Médio;219;218;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ASSOCIAÇÃO BENEFICENTE DE ASSISTENCIA A SAUDE (ABAS 15) (304131);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ASSOCIAÇÃO BENEFICENTE DOS PROFESSORES PÚBLICOS ATIVOS E INATIVOS DO RIO DE JANEIRO - APPAI (382540);Médico Hospitalar;Grande;75;77;0;0,17;0,26;0,35;0,22;0,27;0,31;0,31;0,27;0,23;0,23;0,23;201801;26/02/2018 11:03
ASSOCIAÇÃO BENEFICENTE FNV (415049);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ASSOCIAÇÃO BRASILEIRA DOS EMPREGADOS EM TELECOMUNICAÇÕES (338915);Médico Hospitalar;Pequeno;38;35;9,91;11,66;16,15;13,87;10,83;6,18;5,19;3,38;7,38;8,42;11,31;7,22;201801;26/02/2018 11:03
ASSOCIACAO CIVIL PRÓ-SAÚDE DOS SERVIDORES DA UNIVERSIDADE ESTADUAL DE PONTA GROSSA (409634);Médico Hospitalar;Pequeno;21;37;21,24;10,6;10,57;10,54;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ASSOCIAÇÃO DA SANTA CASA SAÚDE DE RIBEIRÃO PRETO (417947);Médico Hospitalar;Médio;195;132;0,39;1,17;1,56;2,72;2,33;1,94;1,55;1,55;2,71;2,72;1,95;1,17;201801;26/02/2018 11:03
ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DA AMAGIS (416690);Médico Hospitalar;Pequeno;189;194;0;0;1,39;1,39;2,79;1,4;1,41;0;0;0;0;0;201801;26/02/2018 11:03
